Instrument:  EduRaman Pro
The Light Source Type:  531.85nm laser/Tungsten lamp
Detector:  ERAM7X-1
Laser Power(%):  100%
Grating(g/mm):  1200
Slit Width:  50μm
Objective:  10x / 0.3NA
Acq. time(ms):  1000
Accumulation:  1
Spectra_type:  0-2000cm⁻¹
TimeSeq:  5
TimeCycle(ms):  100
Temperature:  10.3℃
pixel(2026/05/08 11:02:35)	wavelength(2026/05/08 11:02:35)	wavenumber(2026/05/08 11:02:35)	ramanshift(2026/05/08 11:02:35)	intensity(2026/05/08 11:02:35)
1	535.909	18659.89	142.40	3617.000
2	535.988	18657.12	145.18	3512.000
3	536.068	18654.34	147.95	3421.000
4	536.148	18651.57	150.72	3297.000
5	536.228	18648.80	153.49	3234.000
6	536.307	18646.03	156.26	3124.000
7	536.387	18643.26	159.03	3002.000
8	536.467	18640.49	161.80	2928.000
9	536.546	18637.72	164.57	2909.000
10	536.626	18634.95	167.34	2861.000
11	536.706	18632.19	170.11	2787.000
12	536.785	18629.42	172.87	2823.000
13	536.865	18626.66	175.64	2787.000
14	536.945	18623.89	178.40	2790.000
15	537.024	18621.13	181.17	2828.000
16	537.104	18618.36	183.93	2887.000
17	537.184	18615.60	186.69	2939.000
18	537.264	18612.84	189.45	3012.000
19	537.343	18610.08	192.21	3214.000
20	537.423	18607.32	194.97	3343.000
21	537.503	18604.56	197.73	3513.000
22	537.582	18601.80	200.49	3658.000
23	537.662	18599.05	203.25	3871.000
24	537.742	18596.29	206.01	4047.000
25	537.821	18593.53	208.76	4289.000
26	537.901	18590.78	211.52	4576.000
27	537.981	18588.02	214.27	4934.000
28	538.061	18585.27	217.02	5413.000
29	538.140	18582.52	219.78	5936.000
30	538.220	18579.76	222.53	6616.000
31	538.300	18577.01	225.28	7188.000
32	538.379	18574.26	228.03	7601.000
33	538.459	18571.51	230.78	7781.000
34	538.539	18568.76	233.53	7770.000
35	538.619	18566.02	236.28	7446.000
36	538.698	18563.27	239.03	6900.000
37	538.778	18560.52	241.77	6424.000
38	538.858	18557.78	244.52	5925.000
39	538.937	18555.03	247.26	5437.000
40	539.017	18552.29	250.01	5048.000
41	539.097	18549.54	252.75	4690.000
42	539.177	18546.80	255.49	4502.000
43	539.256	18544.06	258.24	4165.000
44	539.336	18541.32	260.98	3970.000
45	539.416	18538.58	263.72	3835.000
46	539.495	18535.84	266.46	3704.000
47	539.575	18533.10	269.20	3522.000
48	539.655	18530.36	271.93	3407.000
49	539.735	18527.62	274.67	3212.000
50	539.814	18524.89	277.41	2995.000
51	539.894	18522.15	280.14	2849.000
52	539.974	18519.41	282.88	2694.000
53	540.054	18516.68	285.61	2593.000
54	540.133	18513.95	288.35	2534.000
55	540.213	18511.21	291.08	2383.000
56	540.293	18508.48	293.81	2379.000
57	540.373	18505.75	296.54	2307.000
58	540.452	18503.02	299.27	2337.000
59	540.532	18500.29	302.00	2317.000
60	540.612	18497.56	304.73	2304.000
61	540.692	18494.83	307.46	2260.000
62	540.771	18492.11	310.19	2294.000
63	540.851	18489.38	312.91	2312.000
64	540.931	18486.65	315.64	2281.000
65	541.011	18483.93	318.36	2295.000
66	541.090	18481.21	321.09	2329.000
67	541.170	18478.48	323.81	2347.000
68	541.250	18475.76	326.53	2322.000
69	541.330	18473.04	329.26	2316.000
70	541.409	18470.32	331.98	2381.000
71	541.489	18467.60	334.70	2324.000
72	541.569	18464.88	337.42	2329.000
73	541.649	18462.16	340.14	2239.000
74	541.728	18459.44	342.85	2198.000
75	541.808	18456.72	345.57	2139.000
76	541.888	18454.01	348.29	2165.000
77	541.968	18451.29	351.00	2213.000
78	542.047	18448.57	353.72	2164.000
79	542.127	18445.86	356.43	2168.000
80	542.207	18443.15	359.15	2184.000
81	542.287	18440.43	361.86	2165.000
82	542.366	18437.72	364.57	2139.000
83	542.446	18435.01	367.28	2097.000
84	542.526	18432.30	369.99	2046.000
85	542.606	18429.59	372.70	1970.000
86	542.685	18426.88	375.41	1991.000
87	542.765	18424.17	378.12	1991.000
88	542.845	18421.47	380.83	1947.000
89	542.925	18418.76	383.53	1946.000
90	543.004	18416.05	386.24	1955.000
91	543.084	18413.35	388.94	1967.000
92	543.164	18410.64	391.65	2048.000
93	543.244	18407.94	394.35	2138.000
94	543.324	18405.24	397.06	2351.000
95	543.403	18402.54	399.76	2560.000
96	543.483	18399.84	402.46	2915.000
97	543.563	18397.13	405.16	3487.000
98	543.643	18394.43	407.86	4514.000
99	543.722	18391.74	410.56	5709.000
100	543.802	18389.04	413.26	6563.000
101	543.882	18386.34	415.95	6738.000
102	543.962	18383.64	418.65	6677.000
103	544.042	18380.95	421.35	6751.000
104	544.121	18378.25	424.04	6755.000
105	544.201	18375.56	426.74	6217.000
106	544.281	18372.86	429.43	5530.000
107	544.361	18370.17	432.12	5265.000
108	544.441	18367.48	434.81	5847.000
109	544.520	18364.79	437.51	6835.000
110	544.600	18362.10	440.20	7380.000
111	544.680	18359.41	442.89	7083.000
112	544.760	18356.72	445.58	6288.000
113	544.839	18354.03	448.26	5316.000
114	544.919	18351.34	450.95	4519.000
115	544.999	18348.66	453.64	4032.000
116	545.079	18345.97	456.32	3795.000
117	545.159	18343.28	459.01	3785.000
118	545.238	18340.60	461.69	3812.000
119	545.318	18337.92	464.38	3728.000
120	545.398	18335.23	467.06	3541.000
121	545.478	18332.55	469.74	3313.000
122	545.558	18329.87	472.42	3000.000
123	545.637	18327.19	475.11	2811.000
124	545.717	18324.51	477.79	2595.000
125	545.797	18321.83	480.46	2440.000
126	545.877	18319.15	483.14	2424.000
127	545.957	18316.47	485.82	2411.000
128	546.036	18313.80	488.50	2426.000
129	546.116	18311.12	491.17	2328.000
130	546.196	18308.44	493.85	2242.000
131	546.276	18305.77	496.52	2004.000
132	546.356	18303.10	499.20	1924.000
133	546.435	18300.42	501.87	1905.000
134	546.515	18297.75	504.54	1976.000
135	546.595	18295.08	507.22	2113.000
136	546.675	18292.41	509.89	2314.000
137	546.755	18289.74	512.56	2537.000
138	546.835	18287.07	515.23	2563.000
139	546.914	18284.40	517.90	2544.000
140	546.994	18281.73	520.56	2647.000
141	547.074	18279.06	523.23	3026.000
142	547.154	18276.40	525.90	3635.000
143	547.234	18273.73	528.56	4340.000
144	547.313	18271.07	531.23	4869.000
145	547.393	18268.40	533.89	4876.000
146	547.473	18265.74	536.56	4441.000
147	547.553	18263.08	539.22	3690.000
148	547.633	18260.41	541.88	2833.000
149	547.713	18257.75	544.54	2250.000
150	547.792	18255.09	547.20	1946.000
151	547.872	18252.43	549.86	1739.000
152	547.952	18249.77	552.52	1641.000
153	548.032	18247.12	555.18	1666.000
154	548.112	18244.46	557.84	1862.000
155	548.191	18241.80	560.49	1964.000
156	548.271	18239.15	563.15	1911.000
157	548.351	18236.49	565.80	1794.000
158	548.431	18233.84	568.46	1661.000
159	548.511	18231.18	571.11	1647.000
160	548.591	18228.53	573.77	1736.000
161	548.670	18225.88	576.42	1947.000
162	548.750	18223.22	579.07	2019.000
163	548.830	18220.57	581.72	1823.000
164	548.910	18217.92	584.37	1555.000
165	548.990	18215.27	587.02	1410.000
166	549.070	18212.63	589.67	1368.000
167	549.149	18209.98	592.32	1309.000
168	549.229	18207.33	594.96	1309.000
169	549.309	18204.69	597.61	1276.000
170	549.389	18202.04	600.25	1225.000
171	549.469	18199.39	602.90	1215.000
172	549.549	18196.75	605.54	1198.000
173	549.628	18194.11	608.19	1161.000
174	549.708	18191.47	610.83	1182.000
175	549.788	18188.82	613.47	1233.000
176	549.868	18186.18	616.11	1237.000
177	549.948	18183.54	618.75	1216.000
178	550.028	18180.90	621.39	1261.000
179	550.108	18178.26	624.03	1366.000
180	550.187	18175.63	626.67	1481.000
181	550.267	18172.99	629.31	1596.000
182	550.347	18170.35	631.94	1416.000
183	550.427	18167.72	634.58	1335.000
184	550.507	18165.08	637.21	1197.000
185	550.587	18162.45	639.85	1208.000
186	550.666	18159.81	642.48	1182.000
187	550.746	18157.18	645.11	1232.000
188	550.826	18154.55	647.75	1250.000
189	550.906	18151.92	650.38	1256.000
190	550.986	18149.28	653.01	1294.000
191	551.066	18146.65	655.64	1455.000
192	551.146	18144.03	658.27	1609.000
193	551.225	18141.40	660.90	1832.000
194	551.305	18138.77	663.52	1905.000
195	551.385	18136.14	666.15	1704.000
196	551.465	18133.52	668.78	1504.000
197	551.545	18130.89	671.40	1392.000
198	551.625	18128.27	674.03	1302.000
199	551.705	18125.64	676.65	1244.000
200	551.784	18123.02	679.28	1262.000
201	551.864	18120.40	681.90	1232.000
202	551.944	18117.77	684.52	1227.000
203	552.024	18115.15	687.14	1246.000
204	552.104	18112.53	689.76	1287.000
205	552.184	18109.91	692.38	1313.000
206	552.264	18107.29	695.00	1376.000
207	552.344	18104.68	697.62	1509.000
208	552.423	18102.06	700.24	1623.000
209	552.503	18099.44	702.85	1675.000
210	552.583	18096.83	705.47	1592.000
211	552.663	18094.21	708.08	1481.000
212	552.743	18091.60	710.70	1383.000
213	552.823	18088.98	713.31	1329.000
214	552.903	18086.37	715.92	1381.000
215	552.982	18083.76	718.54	1386.000
216	553.062	18081.15	721.15	1493.000
217	553.142	18078.53	723.76	1717.000
218	553.222	18075.92	726.37	2041.000
219	553.302	18073.31	728.98	2116.000
220	553.382	18070.71	731.59	2097.000
221	553.462	18068.10	734.20	2414.000
222	553.542	18065.49	736.80	2385.000
223	553.621	18062.88	739.41	1927.000
224	553.701	18060.28	742.01	1589.000
225	553.781	18057.67	744.62	1524.000
226	553.861	18055.07	747.22	1563.000
227	553.941	18052.47	749.83	1781.000
228	554.021	18049.86	752.43	2080.000
229	554.101	18047.26	755.03	2159.000
230	554.181	18044.66	757.63	2157.000
231	554.260	18042.06	760.23	2525.000
232	554.340	18039.46	762.83	2621.000
233	554.420	18036.86	765.43	2162.000
234	554.500	18034.26	768.03	1744.000
