"Group_5_2_Au_600.spc - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
694.00,0.010
695.00,0.010
696.00,0.010
697.00,0.010
698.00,0.010
699.00,0.010
700.00,0.010
701.00,0.010
702.00,0.010
703.00,0.010
704.00,0.010
705.00,0.010
706.00,0.009
707.00,0.009
708.00,0.009
709.00,0.009
710.00,0.009
711.00,0.009
712.00,0.009
713.00,0.009
714.00,0.009
715.00,0.009
716.00,0.009
717.00,0.009
718.00,0.009
719.00,0.009
720.00,0.009
721.00,0.009
722.00,0.008
723.00,0.009
724.00,0.008
725.00,0.008
726.00,0.008
727.00,0.008
728.00,0.008
729.00,0.008
730.00,0.008
731.00,0.008
732.00,0.008
733.00,0.008
734.00,0.008
735.00,0.008
736.00,0.008
737.00,0.008
738.00,0.008
739.00,0.008
740.00,0.008
741.00,0.008
742.00,0.008
743.00,0.008
744.00,0.008
745.00,0.007
746.00,0.007
747.00,0.007
748.00,0.007
749.00,0.007
750.00,0.007
751.00,0.007
752.00,0.007
753.00,0.007
754.00,0.007
755.00,0.007
756.00,0.007
757.00,0.007
758.00,0.007
759.00,0.007
760.00,0.007
761.00,0.007
762.00,0.007
763.00,0.007
764.00,0.007
765.00,0.007
766.00,0.007
767.00,0.007
768.00,0.007
769.00,0.007
770.00,0.007
771.00,0.007
772.00,0.007
773.00,0.007
774.00,0.007
775.00,0.006
776.00,0.007
777.00,0.006
778.00,0.006
779.00,0.006
780.00,0.006
781.00,0.006
782.00,0.007
783.00,0.006
784.00,0.006
785.00,0.006
786.00,0.006
787.00,0.006
788.00,0.006
789.00,0.006
790.00,0.006
791.00,0.006
792.00,0.006
793.00,0.006
794.00,0.006
795.00,0.006
796.00,0.006
797.00,0.006
798.00,0.006
799.00,0.006
800.00,0.006
