"group_5_1_Au_1200.spc - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
694.00,0.014
695.00,0.014
696.00,0.014
697.00,0.013
698.00,0.013
699.00,0.013
700.00,0.013
701.00,0.013
702.00,0.013
703.00,0.012
704.00,0.012
705.00,0.012
706.00,0.012
707.00,0.012
708.00,0.012
709.00,0.012
710.00,0.012
711.00,0.012
712.00,0.011
713.00,0.011
714.00,0.011
715.00,0.011
716.00,0.011
717.00,0.011
718.00,0.011
719.00,0.011
720.00,0.011
721.00,0.010
722.00,0.010
723.00,0.010
724.00,0.010
725.00,0.010
726.00,0.010
727.00,0.010
728.00,0.010
729.00,0.010
730.00,0.010
731.00,0.010
732.00,0.010
733.00,0.010
734.00,0.009
735.00,0.009
736.00,0.009
737.00,0.009
738.00,0.009
739.00,0.009
740.00,0.009
741.00,0.009
742.00,0.009
743.00,0.009
744.00,0.009
745.00,0.009
746.00,0.009
747.00,0.009
748.00,0.009
749.00,0.008
750.00,0.008
751.00,0.008
752.00,0.008
753.00,0.008
754.00,0.008
755.00,0.008
756.00,0.008
757.00,0.008
758.00,0.008
759.00,0.008
760.00,0.008
761.00,0.008
762.00,0.008
763.00,0.008
764.00,0.007
765.00,0.007
766.00,0.007
767.00,0.007
768.00,0.007
769.00,0.007
770.00,0.007
771.00,0.007
772.00,0.007
773.00,0.007
774.00,0.007
775.00,0.007
776.00,0.007
777.00,0.007
778.00,0.007
779.00,0.007
780.00,0.007
781.00,0.007
782.00,0.007
783.00,0.007
784.00,0.007
785.00,0.007
786.00,0.007
787.00,0.007
788.00,0.006
789.00,0.006
790.00,0.006
791.00,0.006
792.00,0.006
793.00,0.006
794.00,0.006
795.00,0.006
796.00,0.006
797.00,0.006
798.00,0.006
799.00,0.006
800.00,0.006
